Date,Open,High,Low,Close,Volume
2019-07-15,139.44,139.54,138.46,138.9,16651457
2019-07-16,138.96,139.05,136.52,137.08,22726128
2019-07-17,137.7,137.93,136.22,136.27,20210956
2019-07-18,135.55,136.62,134.67,136.42,30808707
2019-07-19,140.22,140.67,136.45,136.62,48992364
2019-07-22,137.41,139.19,137.33,138.43,25080760
2019-07-23,139.76,139.99,138.03,139.29,18034589
2019-07-24,138.9,140.74,138.85,140.72,20738275
2019-07-25,140.43,140.61,139.32,140.19,18356883
2019-07-26,140.37,141.68,140.3,141.34,19037600
2019-07-29,141.5,141.51,139.37,141.03,16605870
2019-07-30,140.14,141.22,139.8,140.35,16846528
2019-07-31,140.33,140.49,135.08,136.27,38598786
2019-08-01,137,140.94,136.93,138.06,40557502
2019-08-02,138.09,138.32,135.26,136.9,30791624
2019-08-05,133.3,133.93,130.78,132.21,42749551
2019-08-06,133.8,135.68,133.21,134.69,32696651
2019-08-07,133.79,135.65,131.83,135.28,33414539
2019-08-08,136.6,138.99,135.93,138.89,27496508
2019-08-09,138.61,139.38,136.46,137.71,23466701
2019-08-12,137.07,137.86,135.24,135.79,20484348
2019-08-13,136.05,138.8,135,138.6,25496593
2019-08-14,136.36,136.92,133.67,133.98,32527251
2019-08-15,134.39,134.58,132.25,133.68,28125416
2019-08-16,134.88,136.46,134.72,136.13,25026151
2019-08-19,137.86,138.55,136.89,138.41,24370543
2019-08-20,138.21,138.71,137.24,137.26,21188998
2019-08-21,138.55,139.49,138,138.79,14982314
2019-08-22,138.66,139.2,136.29,137.78,18709662
2019-08-23,137.19,138.35,132.8,133.39,38515386
2019-08-26,134.99,135.56,133.9,135.45,20325271
2019-08-27,136.39,136.72,134.66,135.74,23115635
2019-08-28,134.88,135.76,133.55,135.56,17410828
2019-08-29,137.25,138.44,136.91,138.12,20179716
2019-08-30,139.15,139.18,136.27,137.86,23946123
2019-09-03,136.61,137.2,135.7,136.04,18880773
2019-09-04,137.3,137.69,136.48,137.63,18015310
2019-09-05,139.11,140.38,138.76,140.05,26119520
2019-09-06,140.03,140.18,138.2,139.1,20824504
2019-09-09,139.59,139.75,136.46,137.52,25773932
2019-09-10,136.8,136.89,134.51,136.08,28903378
2019-09-11,135.91,136.27,135.09,136.12,24726117
2019-09-12,137.85,138.42,136.87,137.52,27009981
2019-09-13,137.78,138.06,136.57,137.32,23363057
2019-09-16,135.83,136.7,135.66,136.33,16731440
2019-09-17,136.96,137.52,136.43,137.39,17976285
2019-09-18,137.36,138.67,136.53,138.52,24473386
2019-09-19,140.3,142.37,140.07,141.07,36095413
2019-09-20,141.01,141.65,138.25,139.44,40040766
2019-09-23,139.23,139.63,138.44,139.14,17408374
2019-09-24,140.36,140.69,136.88,137.38,30016670
2019-09-25,137.5,139.96,136.03,139.36,22544054
2019-09-26,139.44,140.18,138.44,139.54,17813512
