Date,Open,High,Low,Close,Adj Close,Volume,Market Cap
2019-11-16,3.03720000,3.04350000,2.91150000,2.98940000,2.98940000,1973143.82000000,1973143.82000000
2019-11-17,2.98930000,2.98940000,2.86440000,2.91000000,2.91000000,1638489.88000000,1638489.88000000
2019-11-18,2.91000000,2.96100000,2.69770000,2.78850000,2.78850000,3495345.66000000,3495345.66000000
2019-11-19,2.78860000,2.80690000,2.58000000,2.72550000,2.72550000,4538639.68000000,4538639.68000000
2019-11-20,2.72790000,2.79570000,2.63000000,2.69820000,2.69820000,3588766.35000000,3588766.35000000
2019-11-21,2.69830000,2.71530000,2.47100000,2.54560000,2.54560000,4566589.41000000,4566589.41000000
2019-11-22,2.54560000,2.59520000,2.10000000,2.34660000,2.34660000,10793729.34000000,10793729.34000000
2019-11-23,2.34340000,2.46210000,2.26040000,2.42660000,2.42660000,4841617.12000000,4841617.12000000
2019-11-24,2.42720000,2.45330000,2.20000000,2.22160000,2.22160000,4491218.33000000,4491218.33000000
2019-11-25,2.22180000,2.39760000,2.02000000,2.25230000,2.25230000,8169446.39000000,8169446.39000000
2019-11-26,2.25540000,2.35780000,2.14590000,2.24240000,2.24240000,7541215.92000000,7541215.92000000
2019-11-27,2.24370000,2.28820000,2.10020000,2.22420000,2.22420000,7877612.52000000,7877612.52000000
2019-11-28,2.22160000,2.32480000,2.17110000,2.27020000,2.27020000,4774519.93000000,4774519.93000000
2019-11-29,2.27160000,2.37630000,2.26110000,2.34030000,2.34030000,4135940.21000000,4135940.21000000
2019-11-30,2.34030000,2.34370000,2.19430000,2.23730000,2.23730000,2921785.10000000,2921785.10000000
2019-12-01,2.23600000,2.23850000,2.12740000,2.16380000,2.16380000,3517483.43000000,3517483.43000000
2019-12-02,2.16340000,2.16600000,2.05240000,2.09110000,2.09110000,3655978.97000000,3655978.97000000
2019-12-03,2.09130000,2.18910000,2.05800000,2.12220000,2.12220000,3779139.53000000,3779139.53000000
2019-12-04,2.12220000,2.17000000,2.00000000,2.02900000,2.02900000,6597003.71000000,6597003.71000000
2019-12-05,2.02820000,2.07400000,1.95830000,2.00680000,2.00680000,5364919.99000000,5364919.99000000
2019-12-06,2.00590000,2.10420000,1.96850000,2.09430000,2.09430000,3859727.30000000,3859727.30000000
2019-12-07,2.09180000,2.11140000,2.03460000,2.04400000,2.04400000,2405401.82000000,2405401.82000000
2019-12-08,2.04020000,2.08500000,2.00120000,2.05280000,2.05280000,2020725.98000000,2020725.98000000
2019-12-09,2.05200000,2.09850000,2.01510000,2.09840000,2.09840000,2777749.05000000,2777749.05000000
2019-12-10,2.09830000,2.28620000,2.06110000,2.26570000,2.26570000,10814539.15000000,10814539.15000000
2019-12-11,2.26550000,2.30420000,2.14700000,2.17860000,2.17860000,4814219.68000000,4814219.68000000
2019-12-12,2.17840000,2.19510000,2.01970000,2.10560000,2.10560000,4784990.28000000,4784990.28000000
2019-12-13,2.10370000,2.12100000,2.05750000,2.07090000,2.07090000,1963976.04000000,1963976.04000000
2019-12-14,2.07130000,2.09330000,1.97000000,1.99460000,1.99460000,1752984.19000000,1752984.19000000
2019-12-15,1.99470000,2.11680000,1.96060000,2.07080000,2.07080000,2576084.24000000,2576084.24000000
2019-12-16,2.07220000,2.08730000,1.96700000,1.97510000,1.97510000,2569583.57000000,2569583.57000000
2019-12-17,1.97050000,2.00250000,1.70000000,1.75980000,1.75980000,7385844.66000000,7385844.66000000
2019-12-18,1.75940000,1.89950000,1.59960000,1.87030000,1.87030000,8597518.31000000,8597518.31000000
2019-12-19,1.87030000,1.89010000,1.74900000,1.80500000,1.80500000,5045402.58000000,5045402.58000000
2019-12-20,1.80500000,1.92380000,1.78490000,1.91820000,1.91820000,3285479.38000000,3285479.38000000
2019-12-21,1.91820000,1.92040000,1.85440000,1.85750000,1.85750000,2246207.92000000,2246207.92000000
2019-12-22,1.85630000,1.94000000,1.85300000,1.91810000,1.91810000,2959721.12000000,2959721.12000000
2019-12-23,1.91670000,1.95320000,1.84600000,1.86290000,1.86290000,2832932.76000000,2832932.76000000
2019-12-24,1.86380000,1.88540000,1.81540000,1.84350000,1.84350000,2279849.44000000,2279849.44000000
2019-12-25,1.84340000,1.84620000,1.76000000,1.78260000,1.78260000,1580097.40000000,1580097.40000000
2019-12-26,1.78360000,1.96040000,1.77020000,1.85390000,1.85390000,2674255.35000000,2674255.35000000
2019-12-27,1.85380000,1.92990000,1.84350000,1.87510000,1.87510000,2417432.93000000,2417432.93000000
2019-12-28,1.87770000,1.89940000,1.85550000,1.87460000,1.87460000,1269364.70000000,1269364.70000000
2019-12-29,1.87160000,1.92000000,1.84440000,1.89760000,1.89760000,1411417.05000000,1411417.05000000
2019-12-30,1.89800000,1.89800000,1.80720000,1.82430000,1.82430000,1099037.99000000,1099037.99000000
2019-12-31,1.82150000,1.82920000,1.75400000,1.76730000,1.76730000,1637649.28000000,1637649.28000000
2020-01-01,1.76780000,1.85480000,1.76060000,1.81110000,1.81110000,1158748.32000000,1158748.32000000
2020-01-02,1.81090000,1.81640000,1.70650000,1.73660000,1.73660000,1422992.29000000,1422992.29000000
2020-01-03,1.73660000,1.82920000,1.70130000,1.80400000,1.80400000,1789613.99000000,1789613.99000000
2020-01-04,1.80300000,1.84460000,1.78400000,1.82420000,1.82420000,1241322.81000000,1241322.81000000
2020-01-05,1.82430000,1.84130000,1.78500000,1.79570000,1.79570000,1524717.40000000,1524717.40000000
2020-01-06,1.79540000,1.93860000,1.79250000,1.93740000,1.93740000,3301261.66000000,3301261.66000000
2020-01-07,1.93730000,2.13980000,1.89930000,2.10330000,2.10330000,6873503.39000000,6873503.39000000
