Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,58.060001,58.320000,56.400002,57.610001,46.141216,10308400
2016-01-05,57.990002,58.250000,56.820000,57.369999,45.948997,7179600
2016-01-06,56.369999,57.560001,56.180000,57.380001,45.956993,8952700
2016-01-07,56.520000,57.840000,56.340000,57.209999,45.820843,9292600
2016-01-08,57.549999,57.810001,55.480000,55.650002,44.571400,7985200
2016-01-11,55.860001,55.980000,52.830002,53.880001,43.153774,10483300
2016-01-12,54.470001,54.970001,53.570000,54.840000,43.922665,6799600
2016-01-13,54.549999,54.619999,50.980000,51.180000,41.421814,10432200
2016-01-14,51.320000,56.830002,50.709999,54.560001,44.157360,16704900
2016-01-15,53.009998,57.410000,53.009998,57.340000,46.407318,27008800
2016-01-19,57.529999,57.730000,54.230000,54.990002,44.505379,13644500
2016-01-20,54.209999,57.930000,53.700001,57.150002,46.253540,11993100
2016-01-21,57.290001,58.770000,56.919998,58.360001,47.232834,12097000
2016-01-22,59.099998,59.430000,57.820000,58.830002,47.613224,10383800
2016-01-25,59.029999,59.810001,58.180000,58.650002,47.467541,9681900
2016-01-26,59.009998,59.270000,57.209999,58.259998,47.151909,7421100
2016-01-27,58.360001,58.930000,56.450001,57.110001,46.221169,9077700
2016-01-28,57.230000,57.730000,54.779999,55.849998,45.201405,10521100
2016-01-29,53.419998,55.310001,53.419998,54.900002,44.432537,17768700
2016-02-01,54.160000,54.880001,52.509998,54.389999,44.019775,11693300
2016-02-02,53.639999,54.779999,53.320000,53.950001,43.663670,7918300
2016-02-03,54.529999,57.180000,54.049999,56.840000,46.002644,16435700
2016-02-04,56.740002,57.310001,55.360001,56.759998,45.937901,10351200
2016-02-05,56.250000,56.340000,52.619999,53.119999,42.991920,13263200
2016-02-08,52.580002,54.099998,51.939999,52.889999,42.805775,9369400
2016-02-09,52.310001,53.939999,52.060001,53.480000,43.283279,7655800
2016-02-10,54.110001,54.689999,52.549999,52.720001,42.668179,9302800
2016-02-11,52.299999,53.119999,51.820000,52.180000,42.231140,8551100
2016-02-12,52.529999,52.970001,51.599998,52.580002,42.554874,9976200
2016-02-16,53.439999,53.869999,52.730000,53.509998,43.307560,8313000
2016-02-17,54.340000,55.150002,53.349998,55.009998,44.521553,10005600
2016-02-18,55.529999,55.529999,54.169998,54.549999,44.149273,6555000
2016-02-19,54.500000,55.000000,53.980000,54.290001,43.938847,8532500
2016-02-22,54.290001,55.320000,53.740002,55.279999,44.740082,9381800
2016-02-23,55.700001,56.310001,55.000000,55.070000,44.570129,8629700
2016-02-24,54.660000,55.070000,54.009998,54.889999,44.424442,6633800
2016-02-25,55.169998,56.230000,54.430000,56.200001,45.484676,7076300
2016-02-26,56.259998,56.790001,55.799999,56.000000,45.322811,5298000
2016-02-29,55.869999,56.000000,54.470001,54.610001,44.197834,8395100
2016-03-01,54.779999,56.340000,54.240002,56.340000,45.597973,7106000
2016-03-02,56.169998,56.430000,55.400002,55.700001,45.080009,7054800
2016-03-03,55.689999,56.090000,55.150002,55.930000,45.266159,9283900
2016-03-04,56.000000,56.700001,55.299999,56.150002,45.444206,6439700
2016-03-07,55.700001,56.500000,54.830002,56.400002,45.646545,7741800
2016-03-08,56.180000,56.470001,55.230000,55.320000,44.772465,5303700
2016-03-09,55.509998,56.650002,55.040001,56.389999,45.638447,8402500
2016-03-10,56.560001,57.369999,55.320000,56.230000,45.508953,5627900
2016-03-11,56.400002,57.869999,56.349998,57.730000,46.722958,6537400
2016-03-14,57.669998,57.730000,56.970001,57.209999,46.302101,4650800
2016-03-15,56.650002,56.930000,55.130001,55.619999,45.015251,5779600
2016-03-16,55.580002,56.540001,55.250000,56.310001,45.573696,6245400
2016-03-17,56.459999,56.459999,54.410000,55.320000,44.772465,8308800
2016-03-18,55.590000,56.599998,54.799999,56.570000,45.784134,11029800
2016-03-21,56.520000,56.779999,55.730000,56.009998,45.330902,6632900
2016-03-22,55.750000,57.540001,55.750000,57.500000,46.536804,7661600
2016-03-23,57.160000,57.500000,56.220001,56.360001,45.614162,5116400
2016-03-24,56.139999,56.250000,55.669998,56.119999,45.419926,5278900
2016-03-28,56.349998,56.700001,55.799999,56.110001,45.411846,3803100
2016-03-29,56.099998,57.099998,55.220001,57.049999,46.172607,4567900
2016-03-30,57.430000,57.529999,56.720001,57.000000,46.132149,3650300
2016-03-31,57.020000,57.459999,56.820000,57.119999,46.229259,4930300
2016-04-01,56.580002,57.570000,56.360001,57.419998,46.472061,4525700
2016-04-04,57.639999,59.400002,57.490002,59.209999,47.920773,8108100
2016-04-05,58.540001,59.560001,58.090000,58.540001,47.378517,6779400
2016-04-06,58.520000,59.900002,58.520000,59.889999,48.471119,6322800
2016-04-07,59.419998,59.900002,58.759998,59.299999,47.993618,7827600
2016-04-08,59.490002,59.799999,58.169998,58.470001,47.321861,5750000
2016-04-11,58.590000,59.250000,58.250000,58.500000,47.346146,4894000
2016-04-12,58.980000,60.049999,58.689999,59.889999,48.471119,7243700
2016-04-13,59.869999,60.000000,58.700001,59.060001,48.258667,7023000
2016-04-14,59.150002,59.490002,59.000000,59.279999,48.438442,5185600
2016-04-15,59.549999,59.740002,58.779999,59.509998,48.626369,4660800
